review,processed_text,sentiment_score,sentiment_label
kasih bintang alasannya aplikasi menggangu kinerja aplikasi bagus disayangkan iklan muncul diseluruh aplikasi didunia saranin meminimalisir promosi aplikasi menyebalkan,"['kasih', 'bintang', 'alas', 'aplikasi', 'menggangu', 'kerja', 'aplikasi', 'bagus', 'sayang', 'iklan', 'muncul', 'seluruh', 'aplikasi', 'dunia', 'saranin', 'meminimalisir', 'promosi', 'aplikasi', 'sebal']",-27,Negative
aplikasi rusak gua gofood in cewe gua aja error kalo lokasi promonya pelit,"['aplikasi', 'rusak', 'gua', 'gofood', 'in', 'cewe', 'gua', 'aja', 'error', 'kalo', 'lokasi', 'promonya', 'pelit']",-23,Negative
tagihan dibayarkan saldo gopaylater full pas dipake bayar tagihan gagal jaringan bagus dicoba gabisa sampe instal ulang aplikasi aja gabisa apasih maunya kalo ga niat ngasih gopaylater ya gausah ditampilin,"['tagih', 'bayar', 'saldo', 'gopaylater', 'full', 'pas', 'dipake', 'bayar', 'tagih', 'gagal', 'jaring', 'bagus', 'coba', 'gabisa', 'sampe', 'instal', 'ulang', 'aplikasi', 'aja', 'gabisa', 'apasih', 'mau', 'kalo', 'ga', 'niat', 'ngasih', 'gopaylater', 'ya', 'gausah', 'ditampilin']",-23,Negative
bikin tarip tu pake perasaan jgn pake otak aj namanya bermitra tu menguntungkanbukan menindas mitra dg tarip hemat yg tdk masuk akalkalian modal aplikasimitra modal kendaraan mn bahan bakar perawatan kesehatan yg hemat mikir,"['bikin', 'tarip', 'tu', 'pake', 'asa', 'jgn', 'pake', 'otak', 'aj', 'nama', 'mitra', 'tu', 'menguntungkanbukan', 'tindas', 'mitra', 'dg', 'tarip', 'hemat', 'yg', 'tdk', 'masuk', 'akalkalian', 'modal', 'aplikasimitra', 'modal', 'kendara', 'mn', 'bahan', 'bakar', 'awat', 'sehat', 'yg', 'hemat', 'mikir']",-38,Negative
baguss pesan driver batalkan tp pesan ulang driver tbtb orderan muncul yg double pesanan pdahal orderan batalkan tolong perbaiki ya gojek,"['baguss', 'pesan', 'driver', 'batal', 'tp', 'pesan', 'ulang', 'driver', 'tbtb', 'order', 'muncul', 'yg', 'double', 'pesan', 'pdahal', 'order', 'batal', 'tolong', 'baik', 'ya', 'gojek']",-21,Negative
gojek lumayan bonusnya pesan penjemputan ditempat aplikasi sebelah anak ditempat dirumah fitur penjemputan dimana gitu,"['gojek', 'lumayan', 'bonus', 'pesan', 'jemput', 'tempat', 'aplikasi', 'belah', 'anak', 'tempat', 'rumah', 'fitur', 'jemput', 'mana', 'gitu']",-23,Negative
mapnya diambil terjauh terdekat gojek licik konsumen rutenya terdekat biaya sesuai rute aplikasi terdekat driver ngambil jalan tikus terdekat biar,"['map', 'ambil', 'jauh', 'dekat', 'gojek', 'licik', 'konsumen', 'rute', 'dekat', 'biaya', 'sesuai', 'rute', 'aplikasi', 'dekat', 'driver', 'ngambil', 'jalan', 'tikus', 'dekat', 'biar']",-37,Negative
komen privasi gofood nama dimunculkan bikin radio button ga fungsinya programmer butuh belajar,"['komen', 'privasi', 'gofood', 'nama', 'muncul', 'bikin', 'radio', 'button', 'ga', 'fungsi', 'programmer', 'butuh', 'ajar']",-11,Negative
customer gojek yg terhormat tolong order gofood jauhjauh pilih resto nyakami driver ribu jarak yg kmrb km customer bayar mahal terima kasih,"['customer', 'gojek', 'yg', 'hormat', 'tolong', 'order', 'gofood', 'jauhjauh', 'pilih', 'resto', 'nyakami', 'driver', 'ribu', 'jarak', 'yg', 'kmrb', 'km', 'customer', 'bayar', 'mahal', 'terima', 'kasih']",-8,Negative
gojek bagus kecepatan pemesanan sampainya pesanan pengetahuan drivernya jalanan kali makanan udah jalan driver lokasimu gambar motornya kayak stuck disitu sulit memantaunya tolong diperbaiki ya,"['gojek', 'bagus', 'cepat', 'mesan', 'sampai', 'pesan', 'tahu', 'drivernya', 'jalan', 'kali', 'makan', 'udah', 'jalan', 'driver', 'lokasi', 'gambar', 'motor', 'kayak', 'stuck', 'situ', 'sulit', 'pantau', 'tolong', 'baik', 'ya']",-22,Negative
driver ga ambil orderan harga ga cocok tolong gausah diterima udh terima ditunggu chat ga wktu bilang harga ga menguntungkan driver tambahan uang udh ditambahin ga terima ujungnya cancel ngga gitu udh oke ditambah uang sesuai yg perjalanan ngomel ngomongin tarif gamau ditawar samsek,"['driver', 'ga', 'ambil', 'order', 'harga', 'ga', 'cocok', 'tolong', 'gausah', 'terima', 'udh', 'terima', 'tunggu', 'chat', 'ga', 'wktu', 'bilang', 'harga', 'ga', 'untung', 'driver', 'tambah', 'uang', 'udh', 'ditambahin', 'ga', 'terima', 'ujung', 'cancel', 'ngga', 'gitu', 'udh', 'oke', 'tambah', 'uang', 'sesuai', 'yg', 'jalan', 'ngomel', 'ngomongin', 'tarif', 'gamau', 'tawar', 'samsek']",-11,Negative
sy suka duka lalui bersamakadang driver yg enak kadang yg ngeselindan gak sipat manusia nano nanopokoka pilihan no promoa the best,"['sy', 'suka', 'duka', 'lalu', 'bersamakadang', 'driver', 'yg', 'enak', 'kadang', 'yg', 'ngeselindan', 'gak', 'sipat', 'manusia', 'nano', 'nanopokoka', 'pilih', 'no', 'promoa', 'the', 'best']",-3,Negative
system prioritas efektif sportif driver rajin driver malaskalau driver pemalas pakai aplikasi modifikasi member tuyulfake gps menikmati hasil nya nya customer kecewakan driverdriver pemalas,"['system', 'prioritas', 'efektif', 'sportif', 'driver', 'rajin', 'driver', 'malaskalau', 'driver', 'malas', 'pakai', 'aplikasi', 'modifikasi', 'member', 'tuyulfake', 'gps', 'nikmat', 'hasil', 'nya', 'nya', 'customer', 'kecewa', 'driverdriver', 'malas']",1,Positive
dear gojekmengapa pembaruan aplikasi posisi driver titik penjemputan notabene nya tinggal ibukota penuh lintas padatmohon diperbaiki jarak driver titik penjemputan maksima kmkami ssbagai pelanggan butuh perjalanan tujuandriver posisi km memakan penjemputantolong diperbaikiterima kasih perhatian nya,"['dear', 'gojekmengapa', 'baru', 'aplikasi', 'posisi', 'driver', 'titik', 'jemput', 'notabene', 'nya', 'tinggal', 'ibukota', 'penuh', 'lintas', 'padatmohon', 'baik', 'jarak', 'driver', 'titik', 'jemput', 'maksima', 'kmkami', 'ssbagai', 'langgan', 'butuh', 'jalan', 'tujuandriver', 'posisi', 'km', 'makan', 'penjemputantolong', 'diperbaikiterima', 'kasih', 'perhati', 'nya']",-20,Negative
ga tau kali driver gocar cancel sesuka hati nunggu pencarian nya lamaa sampe menit ga dpt pesan yg prioritas gocar ga beda pencarian driver kendaraan go ride ga,"['ga', 'tau', 'kali', 'driver', 'gocar', 'cancel', 'suka', 'hati', 'nunggu', 'cari', 'nya', 'lamaa', 'sampe', 'menit', 'ga', 'dpt', 'pesan', 'yg', 'prioritas', 'gocar', 'ga', 'beda', 'cari', 'driver', 'kendara', 'go', 'ride', 'ga']",-17,Negative
aplikasi terusik iklan gojek muncul menerus menunggu detik selesai aplikasi apapun buka iklan muncul mohon dibantu nyaman terganggu terima kasih,"['aplikasi', 'usik', 'iklan', 'gojek', 'muncul', 'terus', 'tunggu', 'detik', 'selesai', 'aplikasi', 'apa', 'buka', 'iklan', 'muncul', 'mohon', 'bantu', 'nyaman', 'ganggu', 'terima', 'kasih']",-30,Negative
sebenernya aplakasi bagus membantu promo loading pemesanan cepat membatalkan pesanan lupa masukan voucher ga,"['sebenernya', 'aplakasi', 'bagus', 'bantu', 'promo', 'loading', 'mesan', 'cepat', 'batal', 'pesan', 'lupa', 'masuk', 'voucher', 'ga']",-20,Negative
ngga tau karna hp gojekny yg eror karna nontifikasi panggilan gojek panggilan settingan menyetel settingan mematikan nontifikasi aplikasi amanaman nontifikasi panggilannya,"['ngga', 'tau', 'karna', 'hp', 'gojekny', 'yg', 'eror', 'karna', 'nontifikasi', 'panggil', 'gojek', 'panggil', 'settingan', 'setel', 'settingan', 'mati', 'nontifikasi', 'aplikasi', 'amanaman', 'nontifikasi', 'panggil']",-22,Negative
custamer yg ngerti apk geojek indrive pilih indrive pilih driver terdekat ongkir yg murahlebih efisien gojek udah ongkir nya mahal driver nya menghambat 🤔🤔🤔🤔 mu pilih cepat murah lambat mahal,"['custamer', 'yg', 'ngerti', 'apk', 'geojek', 'indrive', 'pilih', 'indrive', 'pilih', 'driver', 'dekat', 'ongkir', 'yg', 'murahlebih', 'efisien', 'gojek', 'udah', 'ongkir', 'nya', 'mahal', 'driver', 'nya', 'hambat', 'mu', 'pilih', 'cepat', 'murah', 'lambat', 'mahal']",-13,Negative
pesan gocar kek pesen pesawatga yg ambil bayar gopaycashganti prioritas jg dpt driver jaraknya astaga bgtbuang maps driver nongkrongemg pilih gimana ni driver gocar kalo goride nya ga masalahmalah cepet dpt driver goride drpd gocar tolong gojek perbaiki sistemnyasy klo pesan car jd beralih aplikasi yg gercep n satset ga kek driver gocar yg pilih,"['pesan', 'gocar', 'kek', 'sen', 'pesawatga', 'yg', 'ambil', 'bayar', 'gopaycashganti', 'prioritas', 'jg', 'dpt', 'driver', 'jarak', 'astaga', 'bgtbuang', 'maps', 'driver', 'nongkrongemg', 'pilih', 'gimana', 'ni', 'driver', 'gocar', 'kalo', 'goride', 'nya', 'ga', 'masalahmalah', 'cepet', 'dpt', 'driver', 'goride', 'drpd', 'gocar', 'tolong', 'gojek', 'baik', 'sistemnyasy', 'klo', 'pesan', 'car', 'jd', 'alih', 'aplikasi', 'yg', 'gercep', 'n', 'satset', 'ga', 'kek', 'driver', 'gocar', 'yg', 'pilih']",-30,Negative
aplikasi nya sih kasih bintang mengecewakan kurir nya marah marah gak alamat udah lengkap beli makanan jam harga makanannya rb kasih uang rb kembaliannya ambil aja mas nya eh marah gak maksud capek istirahat paksain,"['aplikasi', 'nya', 'sih', 'kasih', 'bintang', 'kecewa', 'kurir', 'nya', 'marah', 'marah', 'gak', 'alamat', 'udah', 'lengkap', 'beli', 'makan', 'jam', 'harga', 'makan', 'rb', 'kasih', 'uang', 'rb', 'kembali', 'ambil', 'aja', 'mas', 'nya', 'eh', 'marah', 'gak', 'maksud', 'capek', 'istirahat', 'paksain']",-37,Negative
bagus drivernya ramah penjemputan cepet sayang prodak anak bangsa kasih harga murah dibanding prodak pedatang aja terima kasih,"['bagus', 'drivernya', 'ramah', 'jemput', 'cepet', 'sayang', 'prodak', 'anak', 'bangsa', 'kasih', 'harga', 'murah', 'banding', 'prodak', 'datang', 'aja', 'terima', 'kasih']",-16,Negative
hadeh pagi pagi pesen menit dapet liat motormotor nangkring sekalinya dapet tolong ya gojek diperbaiki bug nya kasian drivernya dapet pesanan penumpang,"['hadeh', 'pagi', 'pagi', 'sen', 'menit', 'dapet', 'liat', 'motormotor', 'nangkring', 'sekali', 'dapet', 'tolong', 'ya', 'gojek', 'baik', 'bug', 'nya', 'kasi', 'drivernya', 'dapet', 'pesan', 'tumpang']",-11,Negative
tricky banget klo order makanan gojek kadang mahal kadang murah jam tpi gak ngotak selisihnya nyampe rb rb the hll gak promo yg pake,"['tricky', 'banget', 'klo', 'order', 'makan', 'gojek', 'kadang', 'mahal', 'kadang', 'murah', 'jam', 'tpi', 'gak', 'ngotak', 'selisih', 'nyampe', 'rb', 'rb', 'the', 'hll', 'gak', 'promo', 'yg', 'pake']",4,Positive
top up gopay ga masuk saldo nya nya langsung masuk nunggu diriwayat nya transaksi top up,"['top', 'up', 'gopay', 'ga', 'masuk', 'saldo', 'nya', 'nya', 'langsung', 'masuk', 'nunggu', 'riwayat', 'nya', 'transaksi', 'top', 'up']",14,Positive
sinyal terputus status pesanan auto refresh driver menunggu didalam rumah,"['sinyal', 'putus', 'status', 'pesan', 'auto', 'refresh', 'driver', 'tunggu', 'dalam', 'rumah']",-2,Negative
gajelas titik lokasi gofud driver titik pemesan alamat pengantaran gak lengkap beda g lengkap titik cari melenceng km cok dri titiknya mohon perbaharui lgi betulkan sistem lokasi petanya kerja google maps yg benergila,"['gajelas', 'titik', 'lokasi', 'gofud', 'driver', 'titik', 'mes', 'alamat', 'antar', 'gak', 'lengkap', 'beda', 'g', 'lengkap', 'titik', 'cari', 'lenceng', 'km', 'cok', 'dri', 'titik', 'mohon', 'baharu', 'lgi', 'betul', 'sistem', 'lokasi', 'peta', 'kerja', 'google', 'maps', 'yg', 'benergila']",-31,Negative
bayar tagihan gopay pinjam telat tagih nya gk kayak aplikasi oren komunikasikan bintang sekian,"['bayar', 'tagih', 'gopay', 'pinjam', 'telat', 'tagih', 'nya', 'gk', 'kayak', 'aplikasi', 'oren', 'komunikasi', 'bintang', 'sekian']",-25,Negative
kemarin iklan muncul penggunaan sosmed bikin terganggu aplikasi uninstall aja iklannya muncul stop munculin iklan muncul hp karna terganggu terima kasih,"['kemarin', 'iklan', 'muncul', 'guna', 'sosmed', 'bikin', 'ganggu', 'aplikasi', 'uninstall', 'aja', 'iklan', 'muncul', 'stop', 'munculin', 'iklan', 'muncul', 'hp', 'karna', 'ganggu', 'terima', 'kasih']",-21,Negative
overall bagus gomartnya dibanyakin ya produknya karna pengen beli gomart 🙏,"['overall', 'bagus', 'gomartnya', 'dibanyakin', 'ya', 'produk', 'karna', 'ken', 'beli', 'gomart']",-2,Negative
sebenernya sih bagus aplikasi nya driver nyacuma sayangkanya driver pendapatan nya sih kalo jdi driver gojek driver rb akun jarak deketsaya kasian driver nyatolong tingkatkan argonya driver jarak deket kasian anak rb rupiah argo nya makan kalo pendapatan segitu,"['sebenernya', 'sih', 'bagus', 'aplikasi', 'nya', 'driver', 'nyacuma', 'sayangkanya', 'driver', 'dapat', 'nya', 'sih', 'kalo', 'jdi', 'driver', 'gojek', 'driver', 'rb', 'akun', 'jarak', 'deketsaya', 'kasi', 'driver', 'nyatolong', 'tingkat', 'argonya', 'driver', 'jarak', 'deket', 'kasi', 'anak', 'rb', 'rupiah', 'argo', 'nya', 'makan', 'kalo', 'dapat', 'segitu']",-30,Negative
apk bagus pinjaman bunga potongan tenor cepat gitu gopaylater pembayaran cepat,"['apk', 'bagus', 'pinjam', 'bunga', 'potong', 'tenor', 'cepat', 'gitu', 'gopaylater', 'bayar', 'cepat']",-18,Negative
tolong perbaiki sistemnya order goride dapet drivernya nunggu payah kalah sistem maxim mending pindah aja maxim sistemnya enak dapet drivernya jga deket cepat tujuannya,"['tolong', 'baik', 'sistem', 'order', 'goride', 'dapet', 'drivernya', 'nunggu', 'payah', 'kalah', 'sistem', 'maxim', 'mending', 'pindah', 'aja', 'maxim', 'sistem', 'enak', 'dapet', 'drivernya', 'jga', 'deket', 'cepat', 'tuju']",-29,Negative
tolong dapetnya jngn yg bikin telat posisi tujuannya deket ampe menit si nunggunya udh gitu aplikasinya lemot bikin kesel 😒,"['tolong', 'dapetnya', 'jngn', 'yg', 'bikin', 'telat', 'posisi', 'tuju', 'deket', 'ampe', 'menit', 'si', 'nunggunya', 'udh', 'gitu', 'aplikasi', 'lot', 'bikin', 'kesel']",-24,Negative
